customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
66,Male,0,Yes,Yes,7,Yes,No phone service,No,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),74.93,2569.8
67,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,20.94,2474.28
68,Female,1,No,No,19,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),116.38,1238.02
69,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,43.0,4469.01
70,Male,0,Yes,No,4,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),58.56,4390.14
71,Female,1,No,No,18,No,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Mailed check,60.42,4051.87
72,Female,0,No,Yes,13,No,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),60.94,5844.73
73,Male,1,Yes,No,19,No,Yes,No,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),112.2,4975.37
74,Female,0,No,No,1,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No,One year,No,Mailed check,93.13,6987.21
75,Male,0,Yes,Yes,36,No,No,DSL,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,74.36,4448.79
76,Female,1,Yes,No,32,No,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),48.31,6911.67
77,Female,1,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,Two year,No,Electronic check,34.73,3986.72
78,Female,0,No,Yes,47,No,Yes,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.5,733.71
79,Male,1,No,No,24,No,No,DSL,No internet service,No internet service,No,No,No,No,One year,No,Bank transfer (automatic),71.75,2058.62
80,Female,0,No,Yes,66,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.43,7639.09
81,Female,1,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),78.68,3547.75
82,Female,0,No,Yes,14,No,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),29.19,3871.93
83,Male,0,No,No,71,No,No,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.9,8152.62
84,Female,0,No,Yes,34,No,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,26.12,6977.15
85,Female,0,No,No,5,No,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),64.89,4309.93
86,Female,0,No,Yes,17,No,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,43.63,1358.95
87,Female,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),102.97,129.6
88,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,No,Credit card (automatic),112.72,5769.93
89,Male,1,Yes,Yes,13,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.06,6980.17
90,Female,1,No,Yes,71,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),73.92,690.17
91,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,33.97,5417.67
92,Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Electronic check,27.33,7167.35
93,Female,1,Yes,Yes,34,No,No,DSL,Yes,No,Yes,No internet service,No,Yes,Two year,No,Mailed check,27.56,5694.83
94,Female,0,Yes,No,69,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.19,7761.51
95,Female,0,Yes,No,64,No,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),94.74,2134.58
96,Male,1,Yes,Yes,12,No,No,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),39.37,5588.79
97,Female,1,No,No,4,No,Yes,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,44.47,6381.5
98,Male,1,No,No,38,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.64,6738.52
99,Female,1,Yes,Yes,54,No,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,Two year,No,Electronic check,109.03,1608.42
100,Male,1,No,No,17,No,Yes,No,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),34.38,5604.91
101,Male,0,No,Yes,59,No,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),62.44,5457.65
102,Male,0,No,No,66,Yes,No,DSL,No internet service,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),109.1,2729.91
103,Female,0,No,No,5,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),47.52,5392.8
104,Male,0,Yes,Yes,48,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,34.81,8386.25
105,Female,1,Yes,Yes,10,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Mailed check,39.73,7591.88
106,Female,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,99.89,3481.66
107,Female,0,No,Yes,20,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.48,3604.53
108,Female,1,Yes,Yes,69,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),53.69,7864.52
109,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),68.17,365.22
110,Female,0,Yes,No,38,No,No,DSL,No,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),63.57,7265.02
111,Male,0,No,Yes,1,Yes,No,No,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),18.92,1689.69
112,Female,1,No,Yes,71,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),60.11,2481.28
113,Male,1,No,Yes,62,No,Yes,No,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,110.55,5437.49
114,Female,1,Yes,No,54,Yes,No,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),116.85,4170.45
115,Female,0,Yes,Yes,5,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,Two year,No,Electronic check,34.34,7691.2
116,Male,1,Yes,Yes,71,No,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),21.13,1709.62
117,Female,0,No,Yes,11,No,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),38.62,7657.54
118,Female,1,Yes,Yes,29,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,116.35,864.74
119,Female,1,Yes,Yes,7,No,No,No,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),64.93,3675.12
120,Female,0,Yes,No,6,No,No,DSL,No internet service,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),111.24,235.93
121,Male,0,No,No,9,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,70.76,2094.35
122,Male,1,Yes,No,55,No,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,112.1,1324.39
123,Female,0,No,Yes,40,Yes,Yes,No,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),32.42,6803.2
124,Male,1,Yes,Yes,68,No,Yes,No,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),116.63,8263.91
125,Male,1,Yes,Yes,44,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Mailed check,62.3,7922.69
126,Male,0,No,Yes,11,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),117.51,6956.47
127,Male,1,Yes,No,41,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,114.28,778.35
128,Male,0,No,No,34,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,64.95,2057.14
129,Female,1,Yes,No,65,No,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.72,3985.77
130,Female,1,Yes,Yes,14,No,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),68.25,5384.54
131,Female,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),28.68,6415.94
132,Female,0,Yes,Yes,14,No,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Electronic check,26.66,7205.1
133,Female,1,No,Yes,66,No,No,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Electronic check,98.77,4366.34
134,Female,0,No,No,65,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),93.64,8614.17
135,Female,0,Yes,Yes,48,No,No phone service,DSL,No,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),77.23,7289.41
136,Female,0,No,Yes,61,No,No phone service,No,No internet service,No,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.66,3224.51
137,Male,1,No,No,54,No,No,No,Yes,No internet service,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),111.89,7414.06
138,Female,0,Yes,No,60,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,64.78,6628.72
139,Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,No,Electronic check,88.26,1501.81
140,Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),42.51,1244.03
141,Female,0,No,Yes,44,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,74.07,4228.71
142,Male,1,Yes,No,54,No,No,DSL,No internet service,No,No,No,Yes,No,One year,No,Credit card (automatic),37.74,867.6
143,Male,0,No,No,70,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),114.38,5012.42
144,Male,0,No,Yes,15,No,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),104.36,3818.81
145,Female,0,No,No,54,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Mailed check,112.51,3696.4
146,Male,1,Yes,Yes,56,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,Two year,No,Mailed check,76.08,1453.26
147,Female,0,Yes,Yes,53,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,48.75,4483.49
148,Male,1,No,No,52,No,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),83.38,8012.8
149,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),64.7,2147.73
150,Male,0,No,No,38,No,Yes,DSL,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),60.62,4998.08
151,Female,1,Yes,No,28,Yes,No phone service,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),37.47,1789.44
152,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,Yes,One year,Yes,Mailed check,59.95,7066.82
153,Male,1,Yes,No,68,No,Yes,No,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),103.01,876.63
154,Female,1,Yes,Yes,41,No,No,No,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,68.22,2529.09
155,Female,0,Yes,No,11,No,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,18.77,7174.96
156,Female,1,Yes,Yes,24,No,No phone service,No,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,99.25,8585.32
157,Female,0,Yes,Yes,57,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,37.49,3426.06
158,Male,0,No,Yes,44,No,No phone service,No,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),82.53,4058.69
159,Female,0,No,No,69,No,No,No,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),22.72,2051.55
160,Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),63.14,2646.27
161,Female,1,Yes,No,69,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),19.8,4763.78
162,Female,0,No,No,57,No,No,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,No,Mailed check,85.9,7039.1
163,Male,0,Yes,No,67,No,Yes,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,34.82,920.6
164,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,97.27,2981.39
165,Male,1,No,Yes,29,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),110.96,2576.22
166,Female,1,Yes,No,8,Yes,Yes,No,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,63.53,5050.68
167,Female,1,No,No,44,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),73.39,6861.79
168,Male,0,No,No,39,No,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),112.4,2190.96
169,Female,1,No,No,28,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No,Two year,Yes,Mailed check,37.16,3555.69
170,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),102.72,7462.75
171,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),65.48,2095.67
172,Female,1,No,Yes,64,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,78.6,2367.21
173,Female,0,Yes,No,31,No,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),23.32,7007.65
174,Female,0,No,No,42,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,One year,No,Credit card (automatic),113.04,8508.05
175,Female,0,No,Yes,67,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.52,6261.18
176,Female,0,No,No,11,No,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,44.09,7749.1
177,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,99.19,8544.29
178,Male,1,No,Yes,58,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Electronic check,86.12,4955.01
179,Female,0,Yes,Yes,19,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,37.8,5857.21
180,Male,0,No,Yes,69,No,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,55.93,5608.86
181,Female,1,Yes,Yes,60,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,One year,No,Credit card (automatic),21.81,6573.03
182,Female,0,Yes,Yes,19,No,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,25.75,8468.31
183,Female,0,No,Yes,18,Yes,No phone service,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.58,3322.76
184,Female,0,Yes,Yes,23,No,No phone service,No,Yes,No,No,No internet service,No,No,One year,No,Mailed check,48.46,8507.19
185,Female,0,No,Yes,47,No,No,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),70.95,6156.66
186,Female,1,Yes,No,12,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Two year,No,Credit card (automatic),86.58,2111.75
187,Female,0,Yes,No,61,No,No,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),27.12,2868.18
